	BCGY	CCHN	CCNG	CDNG	CKEY	CKIM	DCGY	DDNG	DDON	DKIM	EKIM	GCGY	GCHN	GKES	GKIM	HDSK	HKES	IKES	JDNG	JKES	JKIM	ZSUN	KCHN	KKEY	KKIM	NKES	RDNG	SCYD	SDNG	YCGY	YDON	YKEY	YKIM	YSEO	YSNG	ZKES
BCGY	0	25.803456497691943	23.361412488879317	25.436944790563967	23.102383004576094	23.43629957300532	24.253929347552216	25.43887824738651	23.075590171137577	23.434714966327334	23.427460326103546	22.3960110630883	25.806194302004457	23.38531995799567	23.42252849282881	23.24195597301967	23.501630360145587	23.5004239659191	25.434393408565384	23.541509604711422	23.500004404366297	23.409082411992244	26.292186245094367	23.08705957593422	23.324503827569576	23.506834222329356	25.434393408565384	23.23379276801759	25.43286473056612	15.796475561073736	23.175679837731	23.221510324056528	23.434714966327334	23.21679368985849	23.391772536122577	23.450795524065942
CCHN	25.803456497691943	0	23.637582788270887	20.2917331975724	23.985340439608155	23.72847661192256	25.785624939699858	20.014417843417046	24.732101629381866	23.72847661192256	23.72153973187415	25.902965541727394	9.511767502835614	23.58421769780545	23.7318641457979	23.650621913503645	23.662075016689496	23.665984454358853	20.24613472530868	23.77731997846676	23.755992527865804	23.82166378592196	14.39624039500489	23.98806927570462	23.63378031549093	23.72288380580982	20.24613472530868	23.584268325176993	20.245041895486565	24.233200584877103	24.642752851883518	23.990249881771884	23.72847661192256	23.922863190406485	23.739812017863688	23.647370093174523
CCNG	23.361412488879317	23.637582788270887	0	23.030751142215774	9.311516998185077	8.623154315864536	23.39519822873202	23.048760383704295	21.58548223012671	8.643772872565567	8.625483746935265	23.227039183551117	23.649149377004328	10.323906466401153	8.605770321928338	6.801507326959043	10.401450288145936	10.233814433944929	23.026290565281347	8.87964818234536	6.796335106805716	9.848429530393023	24.592942438637944	9.429284686150371	8.639238002088668	10.267920741640127	23.026290565281347	6.799169838079097	23.056027407386612	17.789512670699494	21.65434303233582	9.341211887382483	8.643772872565567	9.080507648411496	8.845067014967292	9.020053320570781
CDNG	25.436944790563967	20.2917331975724	23.030751142215774	0	23.4934597387881	23.03246120499268	25.468435914590355	16.052611699389384	24.415911218797298	23.03246120499268	23.042575731162287	25.487937585557823	20.276427817521764	23.09424896991045	23.0318221111139	23.058382999552375	23.06878222293052	23.05119374897281	14.21953744231316	23.092373507816113	23.155651109072057	23.07683429597153	21.627030816012198	23.519100218442404	23.108546398133264	23.03567983846766	14.208608480564527	23.05607046090153	14.224524982847871	23.951584269539882	24.451010263772172	23.5169631172207	23.03246120499268	23.10228741951992	23.17293572861611	23.403198774082075
CKEY	23.102383004576094	23.985340439608155	9.311516998185077	23.4934597387881	0	9.042023284649787	23.066822982755276	23.505949955598055	21.589935619976508	9.064558173691196	9.139394999293092	22.96104392023252	23.927468910615318	9.454993905626523	9.056344962159507	9.578506097467498	9.456545077523062	9.29914798674489	23.491364202405897	9.780239038039799	9.448828989760502	8.370235566885608	24.900491604779948	17.389992075984658	8.280341932261388	9.337268745640982	23.491364202405897	9.57534308820174	23.490096635583082	18.54999973600065	21.7773762026487	21.232499843005424	9.064558173691196	9.501612303415476	9.649960343790015	10.154764835661359
CKIM	23.43629957300532	23.72847661192256	8.623154315864536	23.03246120499268	9.042023284649787	0	23.39636815890376	23.028511510093992	21.852233460740596	29.02127659574468	24.177092857864942	23.180516028577944	23.749424003868796	12.037780414297474	23.09051305269845	7.940566456194848	14.032144662874721	14.793345769611541	23.02799952752319	9.497668638201615	9.206678467622925	10.388675432245579	24.684299951160366	9.242851177628484	13.7782885913373	12.876763958690107	23.02799952752319	7.993561565174991	23.057210053838975	17.090223444944368	22.0591278443248	9.10230306161935	29.02127659574468	9.495204326196545	11.089696062597847	8.177368846233838
DCGY	24.253929347552216	25.785624939699858	23.39519822873202	25.468435914590355	23.066822982755276	23.39636815890376	0	25.470369371412897	23.128545365846954	23.3940772081592	23.387528912001983	24.187627261081627	25.789023903994508	23.3460355909843	23.382597078727247	23.20095274745235	23.46200860243638	23.460802208209895	25.465884532591772	23.501625511786873	23.459470772190613	23.369255123883132	26.265309881480544	23.0514995541134	23.28472940755457	23.46721246462015	25.465884532591772	23.19278954245027	25.464355854592508	15.826884146713619	23.201503765911504	23.18591793418595	23.3940772081592	23.176855033500868	23.356202501061055	23.416183219419715
DDNG	25.43887824738651	20.014417843417046	23.048760383704295	16.052611699389384	23.505949955598055	23.028511510093992	25.470369371412897	0	24.24748581695922	23.028511510093992	23.038626036263604	25.489871042380365	19.999285859938947	23.093765675854648	23.03310117438515	23.047795895586077	23.0580558128353	23.047242138501822	19.003090653286822	23.102393118908687	23.138831077156514	23.078114459777844	21.345703229290443	23.531093792750053	23.108689933555386	23.036956986166608	19.99216169153819	23.045483356935232	21.004730223816363	23.96773098500683	24.28248519416	23.5294389480708	23.028511510093992	23.09507734495293	23.199798432399913	23.381143579009997
DDON	23.075590171137577	24.732101629381866	21.58548223012671	24.415911218797298	21.589935619976508	21.852233460740596	23.128545365846954	24.24748581695922	0	21.849433180712595	21.81607498630358	23.106975018117666	24.71279666495779	21.936059238154865	21.860106552462337	21.72346575839413	21.872081117489167	21.836598258296778	24.412780556980657	22.045103581856775	21.96425011345668	21.845133297852595	25.375745302555643	21.577263444117662	21.525968911730615	21.83891069406245	24.412780556980657	21.712338302797342	24.412202561604623	22.897159210585905	16.62901244009998	21.7420981059296	21.849433180712595	21.809406073225006	21.60756519246982	21.700933612673868
DKIM	23.434714966327334	23.72847661192256	8.643772872565567	23.03246120499268	9.064558173691196	29.02127659574468	23.3940772081592	23.028511510093992	21.849433180712595	0	23.198369453609622	23.178225077833385	23.749424003868796	12.058613747630808	22.111789648443132	7.919752395140268	14.053197294453668	14.814398401190488	23.02799952752319	9.518945233946296	9.227955063367608	10.409728063824526	24.684299951160366	9.265386066669894	13.799565187081983	12.897816590269056	23.02799952752319	7.9729787714654625	23.057210053838975	17.117744259005423	22.056327564296794	9.12483795066076	30.0	9.516480921941227	11.110972658342527	8.198421477812785
EKIM	23.427460326103546	23.72153973187415	8.625483746935265	23.042575731162287	9.139394999293092	24.177092857864942	23.387528912001983	23.038626036263604	21.81607498630358	23.198369453609622	0	23.177088595524516	23.748654816004834	12.093993711952395	23.197585486881124	7.095302325432223	15.076092536509595	15.846125460572363	23.038114053692798	9.541789233211672	10.043589254551694	9.469632627847858	24.681655225917932	9.34008283624938	11.919931992335835	13.946564926246674	23.038114053692798	7.131203417318351	23.067324580008588	17.092636885954303	22.00953997687464	9.181656758244637	23.198369453609622	9.51207420139427	10.193017758867398	8.221146247713442
GCGY	22.3960110630883	25.902965541727394	23.227039183551117	25.487937585557823	22.96104392023252	23.180516028577944	24.187627261081627	25.489871042380365	23.106975018117666	23.178225077833385	23.177088595524516	0	25.906530641056598	23.131414814444014	23.160252000345018	22.985241575662833	23.23966352405415	23.237366734578426	25.48538620355924	23.28577338146106	23.24808349133023	23.17910376635905	26.3826887659445	22.942774272119248	23.062384329172335	23.24377699098868	25.48538620355924	22.9716732760716	25.483857525559976	15.879311288803333	23.180818045908893	23.06455859810179	23.178225077833385	23.005395626441178	23.136033572757313	23.19839099937503
