YKEY	연세대본 계서야담	C000001	1/010/010/000	b2	古有一宰爲關伯	YSEO	연대본 쇄어	C000001	1/010/010/000	b2	古有一宰相爲關西伯
YKEY	연세대본 계서야담	C000002	1/010/020/000	b	時有童妓 與之同庚 而容貌佳麗	YSEO	연대본 쇄어	C000002	1/010/020/000	b	時有童妓 與其子同庚 而容皃佳麗
YKEY	연세대본 계서야담	C000003	1/010/030/000	b2	有獨子而率去	YSEO	연대본 쇄어	C000003	1/010/030/000	b2	有獨子而率去
YKEY	연세대본 계서야담	C000004	1/020/010/000	b1	與之相狎 恩情之篤 如山女海	YSEO	연대본 쇄어	C000004	1/020/010/000	b1	與之相狎 恩情之篤 如山如海
YKEY	연세대본 계서야담	C000005	1/030/010/000	b	箕伯遞歸 其父母憂 其不能斷情而別妓 問曰 汝與某妓有情 今日倘能割情 而決然歸去否 其子對曰 此不過風流好事 有何結戀之可言乎 其父母幸而喜之	YSEO	연대본 쇄어	C000005	1/030/010/000	b	及箕伯之遞歸 其父母 憂其子之不能斷情而別妓 問曰 汝與某妓有情 今日倘能割情 而決然歸去否 其子對曰 此不過風流好事 有何係戀之可言乎 其父母幸而喜之
YKEY	연세대본 계서야담	C000006	1/030/020/000	b	發行之日 其子別無惜別之意	YSEO	연대본 쇄어	C000006	1/030/020/000	b	發行之日 其子別無惜別之意
YKEY	연세대본 계서야담	C000007	2/010/010/000	c1	及歸使其子負笈山寺 俾勤三餘之工生讀書山房 而一日之夜 大雪初霽 皓月滿庭 獨依欄檻 悄然四顧 萬籟收聲 千林闃寂 若雲間獨鶴 失羣而悲鳴 巖穴孤猿 喚侶而哀號 生於此時 心懷愀然 關西某妓忽然入想 其妍美之態 端麗之容森然如在目前想 思之懷 如泉湧出 欲忘而未忘 終不可抑 因坐而苦候晨鍾	YSEO	연대본 쇄어	C000007	2/010/010/000	c1	及歸使其子負笈山寺 俾勤三餘之工生讀書山房 而一日之夜 大雪初霽 皓月滿庭 獨依欄檻 悄然四顧 万籟收聲 千林闃若 雲間獨鶴 失羣而悲鳴 岩穴孤猿 喚侶而哀號 生於此時 心懷愀然 關西某妓忽然入想 其妍美之態 端麗之容森然如在目 思想之懷 如泉湧出 欲忘而難忘 終不可抑 因坐而苦俟晨鍾
YKEY	연세대본 계서야담	C000008	2/020/010/000	c	不使傍人知之 獨自草履結綦 佩如干盤費 步出山門 直向關西路而行 翌日諸僧 及同窓之人 大驚搜索 終無形影 告于其家 擧家驚遑 遍尋山谷而不得 意謂虎豹所噉 其寃痛之狀 無以形言矣	YSEO	연대본 쇄어	C000008	2/020/010/000	c	不使傍人知之 而獨自躡草履 佩如干盤費 步出山門 直向關西大路而行 翌日諸僧 及同窓之人 大驚搜索 終無形影 告于其家 擧家驚遑 遍尋山谷而不得 意其爲虎豹所囕 其悲寃號痛之狀 無以形言矣
YKEY	연세대본 계서야담	C000009	2/030/010/000	a3	生間關作行 行僅幾日 到浿城 卽訪其妓之家則 妓不在焉 只有老母 見生之行色草草 冷眼相對 全無欣款之意 生問曰 君之女何在 對曰 方入於新使子弟隨廳 一入之後 尙不得出來 然而書房主 何爲千里徒步而來也 生曰 吾以君女思想之故 柔膓欲斷 不遠千里而來者 全爲一面之地也 老妓冷笑曰 千里他鄕 空然作虛行矣 吾女在此 而吾亦不得相面 何況書房主乎 不如早歸 言罷還入房中 少無迎接之意	YSEO	연대본 쇄어	C000009	2/030/010/000	a3	生間關作行 行幾日 僅到浿城 卽訪其妓之家則 妓不在焉 只有妓老母 見生之行色艸艸 冷眼相對 全無欣款之心 生問曰 君之女何在 對曰 方入於新使道子弟守廳 一入之後 尙不得出來 然而書房主 何爲千里徒步而來也 生曰 吾以君女思想之故 柔腸欲斷 不遠千里而來者 全爲一面之地也 老妓冷笑曰 千里他鄕 空然作虛行矣 吾女在此 而吾亦不得相面 何況書房主乎 不如早歸 言罷還入房中 少無迎接之意
YKEY	연세대본 계서야담	C000010	2/040/010/000	c1	生乃慨歎 出門而無可向處 仍念營吏房 曾親熟且多受恩於其父者 仍問其家 而往見則 其吏大驚起 而迎之坐曰 書房主此何事乎 以貴价公子 千里長程 徒步作行 誠是夢寢之所不到 敢問此來何意 生告之其故 其吏掉頭曰 大難大難 是今巡使子弟 寵愛此妓 跬步不暫離 實無相面之道 然姑留小人之家幾日 庶圖可見之機 仍接待款洽 生留數日 天忽大雪 吏曰 今則有一面之會 而未知書房主能行之否 生曰 若使吾一見其妓之面則 死且不避 何況其外事乎 吏曰明朝調發邑底人丁 將掃雪營庭 小人以書房主 充於冊房掃雪之役則 或可瞥眼相面矣 生欣然從之	YSEO	연대본 쇄어	C000010	2/040/010/000	c1	生乃慨歎 出門而無可向處 仍念營吏房 曾親熟且多受恩於其父者 仍問其家 而往見則 其吏大驚起 而迎之坐曰 書房主此何擧也 以貴价公子 千里長程 徒步此行 誠是夢寐之所不到 敢問此來何爲 生告其故 其吏掉頭 大難大難 見今巡使子弟 寵愛此妓 跬步不暫離 實無相面之道 姑暫留小人家幾日 徐圖可見之機 仍接待款洽 生留數日 天忽大雪 吏曰 今則有一面之會 而未知書房主能行之否 生曰 若使吾一見其妓之面則 死且不避 何況其外事乎 吏曰明朝調發邑底人丁 將掃雪營庭 小人以書房主 充於冊室掃雪之役則 或可瞥眼相面矣 生欣然從之
YKEY	연세대본 계서야담	C000011	2/040/020/000	c	換着常賤衣冠 渾入於掃雪役丁之叢 擁箒而掃冊室之庭 時以眼頻頻 倫視廳上 終不得相面 過食頃之後 房門開處 厥妓凝粧而出 立於曲欄之頭 翫雪景而立 生停掃 而注目視之 厥女忽然色變 轉而入房 更不出來	YSEO	연대본 쇄어	C000011	2/040/020/000	c	換着常賤衣冠 混入於掃雪役丁之叢 擁箒而掃冊室之庭 時以眼頻頻 倫視廳上 終不得相面 過食頃之後 房門開處 厥女凝粧而出 立於曲欄之頭 玩雪景 生停掃 而注目視之 厥妓忽然色變 轉而入房 更不出來 生心甚恨之 無聊而出
