NODE1	NODE2	DVAL
CBSH	CJJB	0
CBSH	CJKS	0.617647059
CBSH	CJSH	0.181818182
CBSH	CKSH	0.617647059
CBSH	CKYR	0
CBSH	CKYS	0.457142857
CBSH	CLSU	0.023809524
CBSH	CPBS	0
CBSH	CPDJ	0.433333333
CBSH	CPKH	0
CBSH	CSJH01	0.666666667
CBSH	CSJH02	0.020833333
CBSH	CSUH	0.102040816
CBSH	EAHN	0
CBSH	EJUN01	0
CBSH	EJUN02	0
CBSH	EJUN03	0.016666667
CBSH	EJUN04	0.015873016
CBSH	ESEL01	0
CBSH	ESEL02	0
CBSH	ESEL03	0
CBSH	ESEL04	0
CBSH	ESEL05	0
CBSH	PBKS	0.555555556
CBSH	PCMS	0.012987013
CBSH	PDCS	0.382352941
CBSH	PDSS	0.540540541
CBSH	PHDS02	0
CBSH	PJSS	0.012820513
CBSH	PSCS	0.147540984
CBSH	SCJM	0
CBSH	SCNU01	0
CBSH	SCNU02	0
CBSH	SHYP02	0
CBSH	SISL	0
CBSH	SKDU01	0
CBSH	SKDU06	0.583333333
CBSH	SKDU07	0.6
CBSH	SKDU10	0
CBSH	SKIK	0
CBSH	SKJC01	0
CBSH	SKJC02	0
CBSH	SKJC03	0
CBSH	SKJY01	0
CBSH	SKJY02	0
CBSH	SKKS01	0
CBSH	SKKS02	0
CBSH	SKKS03	0
CBSH	SKMU	0
CBSH	SKNL	0.016666667
CBSH	SKRU01	0
CBSH	SKRU02	0
CBSH	SKRU03	0
CBSH	SKSU	0
CBSH	SKYC	0
CBSH	SLMS	0
CBSH	SPSH01	0
CBSH	SPSH02	0
CBSH	SPSH03	0.016666667
CBSH	SPSH04	0
CBSH	SPSH06	0.583333333
CBSH	SPSH07	0
CBSH	SPSH09	0
CBSH	SPSH10	0
CBSH	SPSH11	0
CBSH	SPSH12	0
CBSH	SPSH13	0
CBSH	SSDJ01	0
CBSH	SSHK	0
CBSH	SSJD02	0
CBSH	SSJD03	0
CBSH	SSJD04	0
CBSH	SSJD05	0
CBSH	SSJD06	0
CBSH	SSKS	0
CBSH	SSMY01	0
CBSH	SSMY02	0.636363636
CBSH	SSMY03	0
CBSH	SSMY05	0.540540541
CBSH	SSMY06	0
CBSH	SSMY07	0.015873016
CBSH	SYQL01	0
CJJB	CJKS	0
CJJB	CJSH	0.02
CJJB	CKSH	0
CJJB	CKYR	0.076923077
CJJB	CKYS	0
CJJB	CLSU	0.05
CJJB	CPBS	0.666666667
CJJB	CPDJ	0
CJJB	CPKH	0.064516129
CJJB	CSJH01	0
CJJB	CSJH02	0
CJJB	CSUH	0.019230769
CJJB	EAHN	0
CJJB	EJUN01	0.078947368
CJJB	EJUN02	0.055555556
CJJB	EJUN03	0.428571429
CJJB	EJUN04	0.4
CJJB	ESEL01	0.035714286
CJJB	ESEL02	0
CJJB	ESEL03	0
CJJB	ESEL04	0
CJJB	ESEL05	0
CJJB	PBKS	0.018518519
CJJB	PCMS	0.040540541
CJJB	PDCS	0.022222222
CJJB	PDSS	0.018181818
CJJB	PHDS02	0.076923077
CJJB	PJSS	0.012987013
CJJB	PSCS	0.014705882
CJJB	SCJM	0.404761905
CJJB	SCNU01	0.051282051
CJJB	SCNU02	0.035714286
CJJB	SHYP02	0
CJJB	SISL	0.088235294
CJJB	SKDU01	0.083333333
CJJB	SKDU06	0.018181818
CJJB	SKDU07	0.018518519
CJJB	SKDU10	0.052631579
CJJB	SKIK	0.027027027
CJJB	SKJC01	0.055555556
CJJB	SKJC02	0.046511628
CJJB	SKJC03	0.136363636
CJJB	SKJY01	0.0625
CJJB	SKJY02	0.046511628
CJJB	SKKS01	0.055555556
CJJB	SKKS02	0.0625
CJJB	SKKS03	0.03030303
CJJB	SKMU	0.045454545
CJJB	SKNL	0.428571429
CJJB	SKRU01	0.060606061
CJJB	SKRU02	0.051282051
CJJB	SKRU03	0
CJJB	SKSU	0.060606061
CJJB	SKYC	0.027027027
CJJB	SLMS	0.05
CJJB	SPSH01	0
CJJB	SPSH02	0.083333333
CJJB	SPSH03	0.428571429
CJJB	SPSH04	0.11627907
CJJB	SPSH06	0.018181818
CJJB	SPSH07	0.025
CJJB	SPSH09	0.058823529
CJJB	SPSH10	0.088888889
CJJB	SPSH11	0.884615385
CJJB	SPSH12	0.058823529
CJJB	SPSH13	0.393939394
CJJB	SSDJ01	0
CJJB	SSHK	0.054054054
CJJB	SSJD02	0.023255814
CJJB	SSJD03	0
CJJB	SSJD04	0.057142857
CJJB	SSJD05	0.025
CJJB	SSJD06	0.071428571
CJJB	SSKS	0
CJJB	SSMY01	0.025
CJJB	SSMY02	0
CJJB	SSMY03	0.083333333
CJJB	SSMY05	0.018181818
CJJB	SSMY06	0.060606061
CJJB	SSMY07	0.4
CJJB	SYQL01	0.0625
CJKS	CJSH	0.195652174
CJKS	CKSH	1
CJKS	CKYR	0
CJKS	CKYS	0.542857143
CJKS	CLSU	0.022222222
CJKS	CPBS	0
CJKS	CPDJ	0.4375
CJKS	CPKH	0
CJKS	CSJH01	0.870967742
CJKS	CSJH02	0.019607843
CJKS	CSUH	0.096153846
CJKS	EAHN	0
CJKS	EJUN01	0
CJKS	EJUN02	0
CJKS	EJUN03	0.015873016
CJKS	EJUN04	0.015151515
CJKS	ESEL01	0
CJKS	ESEL02	0
CJKS	ESEL03	0
CJKS	ESEL04	0
CJKS	ESEL05	0
CJKS	PBKS	0.735294118
CJKS	PCMS	0.0125
CJKS	PDCS	0.388888889
CJKS	PDSS	0.764705882
CJKS	PHDS02	0
CJKS	PJSS	0.012345679
CJKS	PSCS	0.123076923
CJKS	SCJM	0
CJKS	SCNU01	0.022727273
CJKS	SCNU02	0
CJKS	SHYP02	0
CJKS	SISL	0
