	CBSH	CJJB	CJKS	CJSH	CKSH	CKYR	CKYS	CLSU	CPBS	CPDJ	CPKH	CSJH01	CSJH02	CSUH	EAHN	EJUN01	EJUN02	EJUN03	EJUN04	ESEL01	ESEL02	ESEL03	ESEL04	ESEL05	PBKS	PCMS	PDCS	PDSS	PHDS02	PJSS	PSCS	SCJM	SCNU01	SCNU02	SHYP02	SISL	SKDU01	SKDU06	SKDU07	SKDU10	SKIK	SKJC01	SKJC02	SKJC03	SKJY01	SKJY02	SKKS01	SKKS02	SKKS03	SKMU	SKNL	SKRU01	SKRU02	SKRU03	SKSU	SKYC	SLMS	SPSH01	SPSH02	SPSH03	SPSH04	SPSH06	SPSH07	SPSH09	SPSH10	SPSH11	SPSH12	SPSH13	SSDJ01	SSHK	SSJD02	SSJD03	SSJD04	SSJD05	SSJD06	SSKS	SSMY01	SSMY02	SSMY03	SSMY05	SSMY06	SSMY07	SYQL01
CBSH	0	1.0	0.38235294099999995	0.818181818	0.38235294099999995	1.0	0.542857143	0.976190476	1.0	0.566666667	1.0	0.333333333	0.979166667	0.897959184	1.0	1.0	1.0	0.983333333	0.984126984	1.0	1.0	1.0	1.0	1.0	0.44444444400000005	0.987012987	0.617647059	0.45945945899999996	1.0	0.987179487	0.8524590160000001	1.0	1.0	1.0	1.0	1.0	1.0	0.416666667	0.4	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.983333333	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.983333333	1.0	0.416666667	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.363636364	1.0	0.45945945899999996	1.0	0.984126984	1.0
CJJB	1.0	0	1.0	0.98	1.0	0.923076923	1.0	0.95	0.333333333	1.0	0.935483871	1.0	1.0	0.980769231	1.0	0.921052632	0.944444444	0.571428571	0.6	0.964285714	1.0	1.0	1.0	1.0	0.981481481	0.959459459	0.977777778	0.981818182	0.923076923	0.987012987	0.985294118	0.595238095	0.948717949	0.964285714	1.0	0.911764706	0.916666667	0.981818182	0.981481481	0.947368421	0.972972973	0.944444444	0.953488372	0.863636364	0.9375	0.953488372	0.944444444	0.9375	0.96969697	0.954545455	0.571428571	0.939393939	0.948717949	1.0	0.939393939	0.972972973	0.95	1.0	0.916666667	0.571428571	0.88372093	0.981818182	0.975	0.941176471	0.911111111	0.11538461499999997	0.941176471	0.606060606	1.0	0.945945946	0.976744186	1.0	0.942857143	0.975	0.928571429	1.0	0.975	1.0	0.916666667	0.981818182	0.939393939	0.6	0.9375
CJKS	0.38235294099999995	1.0	0	0.804347826	0.0	1.0	0.457142857	0.977777778	1.0	0.5625	1.0	0.12903225799999996	0.980392157	0.903846154	1.0	1.0	1.0	0.984126984	0.984848485	1.0	1.0	1.0	1.0	1.0	0.264705882	0.9875	0.611111111	0.235294118	1.0	0.987654321	0.876923077	1.0	0.977272727	1.0	1.0	1.0	0.976190476	0.181818182	0.15625	1.0	1.0	1.0	0.979166667	1.0	1.0	0.979166667	1.0	1.0	1.0	1.0	0.984126984	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.984126984	1.0	0.181818182	0.977272727	0.974358974	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.161290323	1.0	0.235294118	1.0	0.984848485	1.0
CJSH	0.818181818	0.98	0.804347826	0	0.804347826	1.0	0.785714286	0.951219512	0.977777778	0.771428571	1.0	0.804347826	0.979166667	0.41176470600000004	1.0	1.0	1.0	0.966101695	0.967741935	1.0	1.0	1.0	1.0	1.0	0.808510638	0.96	0.7948717949999999	0.8125	1.0	0.987179487	0.888888889	0.983050847	1.0	1.0	1.0	0.972972973	1.0	0.787234043	0.782608696	1.0	1.0	1.0	1.0	0.98	1.0	1.0	1.0	1.0	1.0	0.97826087	0.966101695	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.966101695	0.979166667	0.787234043	1.0	1.0	1.0	0.979591837	0.972222222	0.97826087	1.0	1.0	0.977272727	1.0	1.0	0.975609756	1.0	1.0	0.975609756	0.826086957	1.0	0.8125	1.0	0.967741935	1.0
CKSH	0.38235294099999995	1.0	0.0	0.804347826	0	1.0	0.457142857	0.977777778	1.0	0.5625	1.0	0.12903225799999996	0.980392157	0.903846154	1.0	1.0	1.0	0.984126984	0.984848485	1.0	1.0	1.0	1.0	1.0	0.264705882	0.9875	0.611111111	0.235294118	1.0	0.987654321	0.876923077	1.0	0.977272727	1.0	1.0	1.0	0.976190476	0.181818182	0.15625	1.0	1.0	1.0	0.979166667	1.0	1.0	0.979166667	1.0	1.0	1.0	1.0	0.984126984	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.984126984	1.0	0.181818182	0.977272727	0.974358974	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.161290323	1.0	0.235294118	1.0	0.984848485	1.0
CKYR	1.0	0.923076923	1.0	1.0	1.0	0	1.0	1.0	0.904761905	1.0	0.625	1.0	1.0	1.0	1.0	0.8125	0.769230769	0.914285714	0.921052632	1.0	1.0	1.0	1.0	1.0	1.0	0.942307692	1.0	1.0	0.8	1.0	1.0	0.911764706	0.8125	1.0	1.0	0.75	0.785714286	1.0	1.0	0.8	0.857142857	0.769230769	0.85	0.88	0.666666667	0.85	0.769230769	0.666666667	0.8	0.857142857	0.914285714	0.7	0.8125	1.0	0.7	0.857142857	0.823529412	1.0	0.785714286	0.914285714	0.869565217	1.0	0.882352941	0.727272727	0.875	0.92	0.727272727	0.857142857	1.0	0.785714286	1.0	1.0	0.75	1.0	0.4	1.0	1.0	1.0	0.785714286	1.0	0.7	0.921052632	0.666666667
CKYS	0.542857143	1.0	0.457142857	0.785714286	0.457142857	1.0	0	0.975609756	1.0	0.44444444400000005	1.0	0.457142857	0.978723404	0.895833333	1.0	1.0	1.0	0.983050847	0.983870968	1.0	1.0	1.0	1.0	1.0	0.513513514	0.986842105	0.516129032	0.44444444400000005	1.0	1.0	0.868852459	1.0	0.975	1.0	1.0	1.0	0.973684211	0.4	0.428571429	1.0	1.0	1.0	0.977272727	1.0	1.0	0.977272727	1.0	1.0	1.0	1.0	0.983050847	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.983050847	1.0	0.4	0.975	0.971428571	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5277777779999999	1.0	0.44444444400000005	1.0	0.983870968	1.0
CLSU	0.976190476	0.95	0.977777778	0.951219512	0.977777778	1.0	0.975609756	0	0.942857143	0.96969697	1.0	0.977777778	0.974358974	0.953488372	0.947368421	0.96875	0.965517241	0.93877551	0.942307692	0.95	0.95	0.95	0.95	0.95	0.955555556	0.954545455	0.944444444	0.956521739	0.947368421	0.970588235	0.966101695	0.9375	1.0	0.95	1.0	0.964285714	0.966666667	0.956521739	0.955555556	0.967741935	0.965517241	0.965517241	0.972222222	0.923076923	0.96	0.972222222	0.965517241	0.96	0.96	0.972972973	0.93877551	1.0	0.96875	0.967741935	0.961538462	0.965517241	0.96969697	0.967741935	0.966666667	0.93877551	0.947368421	0.956521739	1.0	1.0	0.975	0.948717949	1.0	0.972972973	1.0	0.966666667	0.666666667	1.0	0.964285714	0.625	1.0	0.967741935	0.565217391	0.977272727	0.966666667	0.956521739	0.961538462	0.942307692	1.0
CPBS	1.0	0.333333333	1.0	0.977777778	1.0	0.904761905	1.0	0.942857143	0	1.0	0.923076923	1.0	1.0	0.978723404	1.0	0.909090909	0.935483871	0.69047619	0.711111111	0.956521739	1.0	1.0	1.0	1.0	0.979591837	0.956521739	0.975	0.98	0.904761905	0.986111111	0.984126984	0.7142857140000001	0.941176471	0.956521739	1.0	0.896551724	0.903225806	0.98	0.979591837	0.939393939	0.96875	0.935483871	0.947368421	0.815789474	0.925925926	0.947368421	0.935483871	0.925925926	0.964285714	0.948717949	0.69047619	0.928571429	0.941176471	1.0	0.928571429	0.96875	0.942857143	1.0	0.903225806	0.69047619	0.868421053	0.98	0.971428571	0.931034483	0.9	0.307692308	0.931034483	0.6333333329999999	1.0	0.9375	0.973684211	1.0	0.933333333	0.971428571	0.913043478	1.0	0.971428571	1.0	0.903225806	0.98	0.928571429	0.711111111	0.925925926
CPDJ	0.566666667	1.0	0.5625	0.771428571	0.5625	1.0	0.44444444400000005	0.96969697	1.0	0	1.0	0.606060606	0.974358974	0.875	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.657142857	0.985294118	0.416666667	0.588235294	1.0	1.0	0.8703703700000001	1.0	0.96875	1.0	1.0	1.0	0.966666667	0.545454545	0.53125	1.0	1.0	1.0	0.972222222	1.0	1.0	0.972222222	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.545454545	0.96875	0.962962963	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.636363636	1.0	0.588235294	1.0	1.0	1.0
